Características;;;;;;;Destinatario;;;;;;Domicilio destino;;;;;
"Paquete Guardado 
Ej: Parlante Speaker";"Peso (grs)
Ej: ";"Alto (cm)
Ej: ";"Ancho (cm)
Ej: ";"Profundidad (cm)
Ej: ";"Valor declarado ($ C/IVA) *
Ej: ";"Numero Interno
Ej: ";"Nombre *
Ej: ";"Apellido *
Ej: ";"DNI *
Ej: ";"Email *
Ej: ";"Celular código *
Ej: ";"Celular número *
Ej: ";"Calle *
Ej: ";"Número *
Ej: ";"Piso
Ej: ";"Departamento
Ej: ";"Provincia / Localidad / CP * 
Ej: BUENOS AIRES / 11 DE SEPTIEMBRE / 1657";"Observaciones
Ej: "
